Alimento,Cantidad_sugerida,Unidad,Peso_bruto,Peso_neto,Energia,Proteina,Lipidos,Carbohidratos,Fibra,Vitamina_A,Acido_Ascorbico,Acido_Folico,Hierro,Potasio,Calcio,Selenio,Fosforo,Sodio,Colesterol,AG_saturados,AG_monoinsaturados,AG_poliinsaturados,Azucar,IG,CG,Grupo
Calabacita redonda cruda,1,pieza,100,79,18,1.4,0.1,2.9,1.2,10.7,10.3,20.5,0.4,159.6,0,0,0,0,0,0,0,0,0,15,0.435,Verduras
Pera, 1/2,pieza,95,81,47,0.3,0.1,12.5,2.5,1.5,3.4,5.8,0.2,101.2,0,0,0,0,0,0,0,0,7.9,38,4.75,Frutas
Mango ataulfo, 1/2,pieza,95,62,40,0.3,0.2,10.5,1.1,84.6,17.3,0,0.1,96.3,0,0,0,0,0,0,0,0,0,51,5.355,Frutas
Ostión cultivado cocido,9,pieza,88,88,70,6.1,1.9,6.4,0,16.4,0,0,6.8,0,49.3,68.4,0,143.5,32.9,0,0,0,0,0,0,AOABG
Chicozapote, 1/2,pieza,85,75,62,0.3,0.8,14.9,4,4.4,11,10.6,0.6,144.3,0,0,0,0,0,0,0,0,0,40,5.96,Frutas
Bebida láctea fermentada,1,pieza,80,80,50,0.9,0.2,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,46,5,Azúcares sin grasa
Plátano, 1/2,pieza,80,54,50,0.6,0.2,12.4,1.4,4.3,4.8,10.5,0.2,215.2,0,0,0,0,0,0,0,0,6.7,52,6.448,Frutas
Pan al horno con cascara, 1/2,pieza,78,78,73,1.5,0.1,16.8,0.1,0,0,7,0.3,0,3.9,0,0,3.9,0,0,0,0,1.3,60,10.08,Cereales sin grasa
Cebollita de cambray sin raiz,3,pieza,75,72,23,1.3,0.1,5.3,1.9,36,13.5,46.1,1.1,198.7,0,0,0,0,0,0,0,0,0,15,0.795,Verduras
Papa cocida, 1/2,pieza,68,68,73,1.5,0.1,17.1,1.5,0,0,7.1,0.2,0,3.5,0,0,2.5,0,0,0,0,0.6,54,9.234,Cereales sin grasa
Papa hervida con piel, 1/2,pieza,68,68,59,1.3,0.1,13.7,1.2,0,0,7.1,0.2,0,3.5,0,0,2.5,0,0,0,0,0.6,65,8.905,Cereales sin grasa
Aguacate de pellejo,1 1/2,pieza,68,36,44,0.5,4.5,2,0,0,0,0,0,0,0,0,0,1.4,0,0.7,1.8,0.4,0,0,0,Aceites y grasas
Pierna de pollo con piel cocida, 1/3,pieza,63,36,79,8.7,4.6,0,0,12.9,0,0,0.5,0,4,8.5,0,26.2,30.2,0,0,0,0,0,0,AOAMG
Salchicha de pavo,1,pieza,61,61,120,14.6,6.4,1,0,6.7,0,0,0.9,0,13.5,0,0,407.3,56.4,0,0,0,0,0,0,AOAMG
Pierna y muslo de pollo con piel, 1/5,pieza,61,40,74,7.2,4.8,0,0,14.3,0,0,0.4,0,4,5,0,31.3,32.9,0,0,0,0,0,0,AOAMG
Zanahoria miniatura cruda,4,pieza,60,60,21,0.4,0.1,4.9,1.7,414,1.6,16.2,0.5,142.2,0,0,0,0,0,0,0,0,0,47,2.303,Verduras
Muslo de pollo crudo sin piel, 1/2,pieza,60,45,54,8.8,1.8,0,0,9,0,0,0.5,0,4.5,6.1,0,38.7,37.4,0,0,0,0,0,0,AOABG
Almeja cruda mediana sin concha,4,pieza,58,58,43,7.4,0.6,1.5,0,52.2,0,0,8.1,0,26.6,14.1,0,32.8,19.8,0,0,0,0,0,0,AOAMBG
Almeja fresca sin concha,4,pieza,58,58,43,7.4,0.6,1.5,0,52.2,0,0,8.1,0,26.6,14.1,0,32.8,19.8,0,0,0,0,0,0,AOAMBG
Aguacate California, 1/3,pieza,58,31,54,0.7,5.3,2.1,0,0,0,0,0,0,0,0,0,3.7,0,0.8,3.4,0.6,0,0,0,Aceites y grasas
Aguacate hass, 1/3,pieza,58,31,54,0.7,5.3,2.1,0,0,0,0,0,0,0,0,0,3.7,0,0.8,3.4,0.6,0,0,0,Aceites y grasas
